"http:/cart-command/cart/add" , response:{"value":9162}
"http:/goods-query/goods-sourcecode/list" , response:{"value":8641}
"http:/goods-query/goods-status/list" , response:{"value":44096}
"http:/goods-query/goods-stock/list" , response:{"value":202496}
"http:/goods-query/goods-stock/query" , response:{"value":25713}
"http:/goods-query/sku-info-goods/list" , response:{"value":52988}
"http:/goods-query/sku-pintuan-info/list" , response:{"value":269569}
"http:/goods-query/sku-price/list-version" , response:{"value":6064}
"http:/goods-query/sku-stock/list" , response:{"value":65479}
"http:/goods-query/sku-stock/query" , response:{"value":53733}
"http:/member-command/addr/add" , response:{"value":316}
"http:/member-command/addr/delete" , response:{"value":44}
"http:/member-command/addr/update" , response:{"value":196}
"http:/member-command/cert/add" , response:{"value":4}
"http:/member-command/cert/auth" , response:{"value":16}
"http:/member-command/douz-nopoint/sign" , response:{"value":1904}
"http:/member-command/douz/recover" , response:{"value":0}
"http:/member-command/douz/update" , response:{"value":24}
"http:/member-command/security-config/set" , response:{"value":6}
"http:/member-command/security-logindev/set" , response:{"value":66}
"http:/member-command/third/bind" , response:{"value":2418}
"http:/member-command/third/login" , response:{"value":6635}
"http:/member-command/third/register" , response:{"value":10}
"http:/member-command/third/unbind" , response:{"value":12}
"http:/member-command/third/update" , response:{"value":22}
"http:/member-command/user-email/bind" , response:{"value":2}
"http:/member-command/user-mobile/bind" , response:{"value":6}
"http:/member-command/user-passwd/reset" , response:{"value":34}
"http:/member-command/user-passwd/update" , response:{"value":0}
"http:/member-command/user/backend-update" , response:{"value":0}
"http:/member-command/user/login" , response:{"value":518}
"http:/member-command/user/quick-login" , response:{"value":44}
"http:/member-command/user/register" , response:{"value":354}
"http:/member-command/user/update" , response:{"value":244}
"http:/member-query/addr/count" , response:{"value":504}
"http:/member-query/addr/list" , response:{"value":6895}
"http:/member-query/addr/query" , response:{"value":7346}
"http:/member-query/cert/by-nick/batch-query" , response:{"value":261}
"http:/member-query/cert/exist" , response:{"value":30}
"http:/member-query/cert/list" , response:{"value":44}
"http:/member-query/douz-briefinfo/query" , response:{"value":1931}
"http:/member-query/douz-covertion/list" , response:{"value":2}
"http:/member-query/douz-info/query" , response:{"value":110}
"http:/member-query/douz-sign/check" , response:{"value":2341}
"http:/member-query/douz-sign/query" , response:{"value":5605}
"http:/member-query/douz-task-status/query" , response:{"value":120}
"http:/member-query/douz-type/query" , response:{"value":0}
"http:/member-query/douz/detail" , response:{"value":12}
"http:/member-query/security-config/query" , response:{"value":532}
"http:/member-query/user-baseinfo/query" , response:{"value":161091}
"http:/member-query/user-id/query" , response:{"value":1516}
"http:/member-query/user-info/batch-query" , response:{"value":136523}
"http:/member-query/user-info/query" , response:{"value":922}
"http:/member-query/user-nick/check" , response:{"value":635}
"http:/member-query/user-third/query" , response:{"value":7641}
"http:/member-query/user/exist" , response:{"value":32421}
"http:/mkt-command/activity/batch-check-valid" , response:{"value":830}
"http:/mkt-command/activity/check-available-freetua" , response:{"value":94384}
"http:/mkt-command/activity/list-by-brand-goods" , response:{"value":102}
"http:/mkt-command/activity/list-by-goods" , response:{"value":191976}
"http:/mkt-command/activity/list-simple" , response:{"value":2055}
"http:/mkt-command/activity/query-by-goods" , response:{"value":184765}
"http:/mkt-command/activity/query-cost" , response:{"value":0}
"http:/mkt-command/activity/query-coupon-by-shop" , response:{"value":353938}
"http:/mkt-command/activity/query-gift-info" , response:{"value":14495}
"http:/mkt-command/coin/grant-by-evaluate" , response:{"value":310}
"http:/mkt-command/coin/increase" , response:{"value":322}
"http:/mkt-command/coin/reduce" , response:{"value":574}
"http:/mkt-command/coin/return" , response:{"value":46}
"http:/mkt-command/couponbag/receive" , response:{"value":502}
"http:/mkt-command/discount/calculate-for-cart" , response:{"value":15968}
"http:/mkt-command/discount/calculate-for-confirm" , response:{"value":9014}
"http:/mkt-command/discount/query-next-reduce" , response:{"value":4}
"http:/mkt-command/user-coupon/batch-check-received" , response:{"value":282}
"http:/mkt-command/user-coupon/batch-receive" , response:{"value":820}
"http:/mkt-command/user-coupon/give" , response:{"value":0}
"http:/mkt-command/user-coupon/list" , response:{"value":672}
"http:/mkt-command/user-coupon/receive" , response:{"value":144}
"http:/mkt-command/user-coupon/receive-by-red-packe" , response:{"value":6}
"http:/mkt-command/user-coupon/recover" , response:{"value":0}
"http:/mkt-mgn/activity-goods/relate" , response:{"value":62}
"http:/mkt-mgn/activity-goods/remove" , response:{"value":0}
"http:/mkt-mgn/activity/update" , response:{"value":0}
"http:/mkt-mgn/coupon/count-remain" , response:{"value":270}
"http:/mkt-mgn/couponbag/query" , response:{"value":1218}
"http:/mkt-query/user-coin-details/list" , response:{"value":2958}
"http:/mkt-query/user-coin/query" , response:{"value":51439}
"http:/mkt-query/user-coupon/count" , response:{"value":48698}
"http:/mkt-query/user-vipcard/batch-query" , response:{"value":12798}
"http:/mkt-query/user-vipcard/query" , response:{"value":472190}
"http:/order-command/after-sale-order/create" , response:{"value":6}
"http:/order-command/by-cart-order/create" , response:{"value":1475}
"http:/order-command/by-orderno-order/importflag-up" , response:{"value":10}
"http:/order-command/comment/update" , response:{"value":64}
"http:/order-command/delivery/confirm" , response:{"value":437}
"http:/order-command/gift/refund" , response:{"value":48}
"http:/order-command/lucky-pintuan-order/create" , response:{"value":378}
"http:/order-command/order-address/update" , response:{"value":16}
"http:/order-command/order-deliver/confirm" , response:{"value":2}
"http:/order-command/order-delivery/send" , response:{"value":333}
"http:/order-command/order-delivery/update" , response:{"value":30}
"http:/order-command/order-goods/after-sale" , response:{"value":210}
"http:/order-command/order-log/add" , response:{"value":1332}
"http:/order-command/order-seller-remark/add" , response:{"value":12}
"http:/order-command/order/cancel" , response:{"value":112}
"http:/order-command/order/close" , response:{"value":32}
"http:/order-command/order/completed-pay" , response:{"value":1878}
"http:/order-command/order/delete" , response:{"value":470}
"http:/order-command/order/overtime-pay" , response:{"value":0}
"http:/order-command/order/to-fraud" , response:{"value":6}
"http:/order-command/order/to-normal" , response:{"value":12}
"http:/order-command/pintuan-order/create" , response:{"value":190}
"http:/order-query/by-conditions-order/count" , response:{"value":48899}
"http:/order-query/by-delivery-goods/list" , response:{"value":40}
"http:/order-query/by-orderno-deliver/list" , response:{"value":478}
"http:/order-query/by-orderno-order-deliver/list" , response:{"value":5323}
"http:/order-query/by-orderno/payno-query" , response:{"value":0}
"http:/order-query/by-pay-no-all-order/query" , response:{"value":10}
"http:/order-query/by-sgid-goods/get" , response:{"value":38}
"http:/order-query/detail-order/app-list" , response:{"value":16498}
"http:/order-query/detail-order/pc-query" , response:{"value":1114}
"http:/order-query/detail-order/query" , response:{"value":26399}
"http:/order-query/freepost-order/get" , response:{"value":56}
"http:/order-query/latest-order/query" , response:{"value":1480}
"http:/order-query/no-deliver-goods/list" , response:{"value":5228}
"http:/order-query/order-deliver/list" , response:{"value":4935}
"http:/order-query/order-express-fee/list" , response:{"value":5597}
"http:/order-query/order-gift-goods/query" , response:{"value":322}
"http:/order-query/order-goods/list" , response:{"value":4}
"http:/order-query/order-pay/query" , response:{"value":0}
"http:/order-query/order-serialno/generate" , response:{"value":30}
"http:/order-query/order/list" , response:{"value":88}
"http:/order-query/order/refound-list" , response:{"value":254}
"http:/order-query/seller-unpaied-order/list" , response:{"value":18}
"http:/pintuan-service/address-pintuan/add" , response:{"value":124}
"http:/pintuan-service/by-id-pintuan/query" , response:{"value":4372}
"http:/pintuan-service/by-master-and-status-pintuan" , response:{"value":1921}
"http:/pintuan-service/by-multisgid-pintuan/query" , response:{"value":386}
"http:/pintuan-service/by-payno-or-mainorderno-pint" , response:{"value":1803}
"http:/pintuan-service/by-product-pintuan/query" , response:{"value":3496}
"http:/pintuan-service/by-sgid-orderno-pintuan/quer" , response:{"value":2}
"http:/pintuan-service/by-sgid-pintuan/query" , response:{"value":2178}
"http:/pintuan-service/by-tuanid-pintuan/join" , response:{"value":320}
"http:/pintuan-service/by-user-pintuan/count" , response:{"value":52}
"http:/pintuan-service/by-user-pintuan/list" , response:{"value":42}
"http:/pintuan-service/pintuan/count" , response:{"value":1857}
"http:/pintuan-service/pintuan/create-join" , response:{"value":94}
"http:/pintuan-service/pintuan/join-times-query" , response:{"value":2244}
"http:/pintuan-service/pintuan/pre-join" , response:{"value":177}
"http:/pintuan-service/pintuan/winning-prize" , response:{"value":0}
"hystrix" , response:{"value":1}
